clean_symbol,token,lotsize,tick_size
DHANUKA,24409,1,5.000000
AGIIL,24445,1,5.000000
CENTRUM,2454,1,1.000000
GROWWEV,24798,1,1.000000
ORIENTPPR,2496,1,1.000000
ORIENTTECH,24961,1,1.000000
SURAJLTD,24966,1,1.000000
IBULLSLTD,24999,1,1.000000
EUREKAFORB,25162,1,5.000000
NORTHARC,25426,1,1.000000
ONELIFECAP,25492,1,1.000000
MANBA,25597,1,1.000000
MOMENTUM50,25606,1,1.000000
KRN,25643,1,5.000000
DIFFNKG,25672,1,1.000000
DSSL,25690,1,5.000000
GICRE,277,1,5.000000
CHEMFAB,2799,1,5.000000
INNOVANA,27754,1,5.000000
RCF,2866,1,1.000000
MAMATA,28687,1,5.000000
MAYURUNIQ,28906,1,5.000000
SETL,29075,1,1.000000
INDUSTOWER,29135,1,5.000000
MCLOUD,29482,1,1.000000
GROWWRAIL,29527,1,1.000000
NAZARA,2987,1,1.000000
NIFTY100EW,29944,1,1.000000
NIF100INAV,29956,1,1.000000
AONETOTAL,29975,1,1.000000
KOHINOOR,3009,1,1.000000
ABFRL,30108,1,1.000000
EQUAL200,30121,1,1.000000
EQU200INAV,30124,1,1.000000
JINDALSAW,3024,1,1.000000
CASHIETF,30139,1,1.000000
SILVERCASE,30274,1,1.000000
SESHAPAPER,3066,1,1.000000
MONT50INAV,30502,1,1.000000
HONDAPOWER,3138,1,10.000000
BALRAMCHIN,341,1,5.000000
TFCILTD,3466,1,1.000000
TRANSPEK,3531,1,1.000000
TECILCHEM,3453,1,1.000000
VESUVIUS,3676,1,5.000000
VLSFINANCE,3715,1,1.000000
ZUARIIND,3827,1,1.000000
NATCOPHARM,3918,1,5.000000
GOCLCORP,3963,1,5.000000
SANGAMIND,4184,1,5.000000
SOMATEX,4201,1,1.000000
ZFSTEERING,4229,50,1.000000
KIMS,4847,1,5.000000
INDSWFTLAB,4870,1,1.000000
SAREGAMA,4892,1,5.000000
MADRASFERT,4911,1,1.000000
ICICIBANK,4963,1,10.000000
SVPGLOB,5020,1,1.000000
MAZDOCK,509,1,10.000000
CIGNITITEC,5142,1,10.000000
TATVA,5162,1,10.000000
GRAUWEIL,5200,1,1.000000
ALIVUS,5265,1,5.000000
FMCGIETF,5306,1,1.000000
UGROCAP,5313,1,1.000000
EXXARO,5352,1,1.000000
WINDLAS,5366,1,5.000000
AAVAS,5385,1,10.000000
NGIL,5401,1,1.000000
GRSE,5475,1,10.000000
CYIENT,5748,1,5.000000
SANSERA,5751,1,10.000000
AXISBANK,5900,1,10.000000
MONTECARLO,5938,1,5.000000
GOODLUCK,6125,1,5.000000
MEDICAMEQ,6278,1,1.000000
STEELCAS,6803,1,1.000000
LATENTVIEW,6818,1,5.000000
TARSONS,6943,1,1.000000
DMCC,6973,1,1.000000
ZODIAC,7129,1,1.000000
SUDARCOLOR,715,1,5.000000
MICEL,7169,1,1.000000
RATEGAIN,7177,1,5.000000
JETFREIGHT,7211,1,1.000000
SBIETFQLTY,7218,1,1.000000
MON50EQUAL,756900,1,1.000000
BELRISE,757102,1,1.000000
SAMBHV,757767,1,1.000000
REGAAL,758680,1,1.000000
CHEMCON,270,1,1.000000
PCBL,2649,1,1.000000
MASTERTR,27047,1,1.000000
BLACKBUCK,27144,1,5.000000
JUBLINGREA,2783,1,5.000000
RANEHOLDIN,2844,1,5.000000
IGIL,28378,1,5.000000
RELIANCE,2885,1,10.000000
PROZONER,28859,1,1.000000
SENORES,28888,1,5.000000
ROSSELLIND,28913,1,1.000000
DDEVPLSTIK,29098,1,1.000000
ITCHOTELS,29251,1,1.000000
DENTA,29256,1,1.000000
RUBYMILLS,2939,1,1.000000
MOHITIND,29423,1,1.000000
PROTEAN,29472,1,5.000000
ORCHASP,29492,1,1.000000
SAKHTISUG,2969,1,1.000000
WONDERLA,3002,1,5.000000
ATULAUTO,30023,1,5.000000
SAMMAANCAP,30125,1,1.000000
GLD360INAV,30126,1,5.000000
SDL26BEES,3022,1,1.000000
AONELIQUID,30472,1,1.000000
SHANTIGEAR,3078,1,5.000000
EQUA50INAV,30503,1,1.000000
INDOSTAR,3088,1,1.000000
THOMASCOTT,31017,1,1.000000
BORORENEW,3149,1,5.000000
GILT5YBEES,3172,1,1.000000
JTEKTINDIA,3237,1,1.000000
SUPREMEIND,3363,1,10.000000
SMLMAH,3387,1,10.000000
TNPETRO,3509,1,1.000000
TIL,3484,1,1.000000
NAM-INDIA,357,1,5.000000
UNICHEMLAB,3579,1,5.000000
FINEORG,3744,1,10.000000
VIPIND,3703,1,5.000000
VINEETLAB,3807,1,1.000000
BHARATRAS,3834,1,10.000000
VARROC,3857,1,5.000000
HATSUN,3892,1,5.000000
CAPLIPOINT,3906,1,10.000000
BERGEPAINT,404,1,5.000000
EIMCOELECO,4040,1,10.000000
GULFOILLUB,4391,1,5.000000
JAGSNPHARM,4410,1,1.000000
DYNAMATECH,4525,1,50.000000
NEXT50IETF,4529,1,1.000000
HDFCLIFE,467,1,5.000000
BANKINDIA,4745,1,1.000000
KCPSUGIND,4809,1,1.000000
KPIGREEN,5108,1,5.000000
JAICORPLTD,5143,1,1.000000
ROLEXRINGS,5279,1,1.000000
ASAHIINDIA,5378,1,5.000000
MOL,5394,1,1.000000
JAIPURKURT,5516,1,1.000000
VIJAYA,5585,1,5.000000
BSL,559,1,1.000000
INTELLECT,5926,1,5.000000
SOUTHBANK,5948,1,1.000000
AIROLAM,6068,1,1.000000
CAMLINFINE,6216,1,1.000000
CCHHL,6385,1,1.000000
GRPLTD,6543,1,10.000000
JINDALSTEL,6733,1,10.000000
SMLT,6843,1,1.000000
BAJAJHCARE,6863,1,5.000000
SBIETFPB,722,1,1.000000
MEDPLUS,7254,1,5.000000
SBIETFIT,740,1,1.000000
GLENMARK,7406,1,10.000000
CIFL,756015,1,1.000000
EQUAL50,757142,1,1.000000
MOALPHA50,757669,1,1.000000
PICCADIL,757754,1,5.000000
LOTUSDEV,758145,1,1.000000
PROSTARM,758173,1,1.000000
SHEKHAWATI,21095,1,1.000000
BFINVEST,21113,1,5.000000
KICL,21119,1,10.000000
CDSL,21174,1,10.000000
ASHOKLEY,212,1,1.000000
MOM100,21423,1,1.000000
APEX,21623,1,5.000000
ICICIGI,21770,1,10.000000
LOVABLE,22415,1,1.000000
MOREPENLAB,2259,1,1.000000
SIGNPOST,22656,1,1.000000
HLEGLAS,2289,1,5.000000
PLATIND,22930,1,1.000000
PVSL,23142,1,1.000000
NCC,2319,1,1.000000
JAYNECOIND,2331,1,1.000000
KRONOX,24025,1,1.000000
TOP100INAV,24086,1,1.000000
BBNPNBETF,24117,1,1.000000
DEEDEV,24154,1,5.000000
NKIND,2439,1,1.000000
OILIETF,24533,1,1.000000
MAITHANALL,24538,1,5.000000
RUBFILA,24730,1,1.000000
RPEL,24735,1,5.000000
OLAELEC,24777,1,1.000000
ARKADE,25398,1,1.000000
JISLDVREQS,25684,1,1.000000
METAL,25744,1,1.000000
VAL30IETF,25851,1,1.000000
GROWWGOLD,25872,1,1.000000
LEMONTREE,2606,1,1.000000
HEXATRADEX,27008,1,1.000000
CINELINE,27161,1,1.000000
TRANSRAILL,28714,1,5.000000
UNIMECH,28960,1,5.000000
TVSHLTD,29008,1,100.000000
STALLION,29204,1,1.000000
NEXT30ADD,29464,1,1.000000
REPCOHOME,29598,1,5.000000
QPOWER,29711,1,5.000000
GRN200INAV,29907,1,1.000000
MOCAPITAL,30065,1,1.000000
GOLD360,30105,1,5.000000
PRABHA,30134,1,1.000000
ISHANCH,30249,1,1.000000
SHREECEM,3103,1,500.000000
MCX,31181,1,10.000000
NBCC,31415,1,1.000000
BALMLAWRIE,338,1,1.000000
SUDARSCHEM,3327,1,5.000000
SUPERSPIN,3357,1,1.000000
TATAELXSI,3411,1,10.000000
HONAUT,3417,1,500.000000
TITAN,3506,1,10.000000
UCAL,3570,1,1.000000
VINDHYATEL,3694,1,5.000000
GAYAHWS,3693,1,1.000000
WIMPLAST,3781,1,1.000000
WIPRO,3787,1,1.000000
ARIHANTCAP,3813,1,1.000000
MAHLOG,385,1,5.000000
TNPL,3980,1,1.000000
SUNDRMBRAK,4179,1,5.000000
STERTOOLS,4299,1,1.000000
BHEL,438,1,1.000000
HAWKINCOOK,4444,1,1.000000
ELECTHERM,4469,1,5.000000
RUCHINFRA,4566,1,1.000000
DODLA,4822,1,5.000000
LIQUIDIETF,4838,1,1.000000
ICEMAKE,489,1,5.000000
IRCON,4986,1,1.000000
KOVAI,5192,1,10.000000
BPCL,526,1,5.000000
DEVYANI,5373,1,1.000000
CHEMPLASTS,5449,1,5.000000
ACUTAAS,5578,1,10.000000
IGARASHI,634,1,5.000000
NATIONALUM,6364,1,5.000000
PAYTM,6705,1,5.000000
SAPPHIRE,6718,1,1.000000
SBC,6792,1,1.000000
DHRUV,6858,1,1.000000
RPPL,6913,1,1.000000
DICIND,703,1,5.000000
SHIVALIK,7016,1,1.000000
